,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
244,Ag5Sr1,"HEX
",191,134.968,7.71364,[  5.75134    5.75134    4.711588  90.        90.       120.0012  ],,6,-0.791399,0.000100167,1.49788,57,[22.0011 22.19   23.2697 23.1476 22.5036 21.8558],[-0.291  -0.3082 -0.2886 -0.2736 -0.2083  1.3697]
245,K1,"FCC
",225,72.9958,0.889425,[ 4.69106  4.69106  4.69106 60.      60.      60.     ],0.001321,1,-1.09557,-7.911e-05,13.3526,1,[72.9959],[-0.]
246,Al2Th1,"HEX
",191,71.8663,6.60833,[  4.431204   4.431204   4.226114  90.        90.       119.9978  ],,3,-5.15126,7.02267e-05,-0.000291069,10,[21.9436 21.0893 28.8335],[-0.6291 -0.4761  1.1052]
247,Al1C1Ti3,"CUB
",221,76.2209,3.98012,[ 4.239924  4.239924  4.239924 90.       90.       90.      ],,5,-6.0132,5.3902e-05,3.10872,19,[24.9039 15.3052 12.0039 12.0039 12.0039],[-1.2686 -2.5245  1.2644  1.2644  1.2644]
248,Bi2Pd3S2,"RHL
",166,147.902,8.9962,[ 5.725944  5.725944  5.725944 65.23899  65.23899  65.23899 ],,7,-3.81185,-6.49e-06,0.940233,52,[24.9462 25.1116 18.4239 18.4239 18.4239 21.2709 21.3019],[ 0.6733  0.8405 -0.1917 -0.1917 -0.1917 -0.4687 -0.4699]
249,Mo1Se2,"RHL
",160,65.1071,6.47463,[ 7.023831  7.023591  7.023591 27.47825  27.47778  27.47778 ],,3,-5.65401,4.04167e-05,1.92351,18,[15.0598 25.0381 25.0092],[ 0.9074 -0.4541 -0.4533]
250,Ag3In1,"CUB
",221,75.9482,9.58577,[ 4.23486  4.23486  4.23486 90.      90.      90.     ],,4,-0.987164,-0.000252973,1.1906,36,[18.5883 19.4997 18.5029 19.3573],[-0.111  -0.2299 -0.1019  0.4428]
251,Pt3Sn1,"CUB
",221,66.6019,17.5514,[ 4.053488  4.053488  4.053488 90.       90.       90.      ],,4,-3.95999,-0.000254795,0.455398,34,[16.3821 17.4099 17.4956 15.3143],[-0.1466 -0.375  -0.3903  0.9119]
252,Ru1Zr1,"CUB
",221,35.0267,9.11604,[ 3.271899  3.271899  3.271899 90.       90.       90.      ],,2,-7.86347,-0.00023332,1.31285,12,[21.6651 13.3616],[-1.4969  1.4969]
253,Al3U1,"CUB
",221,81.7537,6.47885,[ 4.340128  4.340128  4.340128 90.       90.       90.      ],,4,-5.26699,0.000110943,-0.00033112,15,[19.0694 18.8025 18.9363 24.9456],[-0.1824 -0.1413 -0.1619  0.4856]
254,Al12Re1,"BCC
",204,213.728,3.96224,[  6.523702   6.523702   6.523702 109.4712   109.4712   109.4712  ],,13,-4.32192,2.66554e-05,2.55676,43,"[14.4214 14.3807 14.3821 14.4364 14.4228 14.3793 14.378  14.4364 14.4336
 14.3793 14.378  14.4187 40.8645]","[ 0.4587  0.466   0.4658  0.4574  0.4585  0.4664  0.4666  0.4574  0.458
  0.4664  0.4666  0.4592 -5.5471]"
255,C1La3Sn1,"CUB
",221,216.83,4.19226,[ 6.007679  6.007679  6.007679 90.       90.       90.      ],,5,-4.06042,-1.5048e-05,2.59118,17,[49.0157 40.3071 40.3064 40.3058 46.8954],[-1.2383  1.0759  1.0759  1.0759 -1.9894]
256,Ag1Mg1,"CUB
",221,37.352,5.87597,[ 3.342754  3.342754  3.342754 90.       90.       90.      ],,2,-1.18934,-0.00059789,1.95417,13,[29.807   7.5449],[-1.4209  1.4209]
257,Ir1Te2,"HEX
",164,74.608,9.95817,[  3.973188   3.973188   5.457325  89.99636   90.00364  120.0008  ],,3,-4.44404,5.40167e-05,0.944405,21,[21.0266 26.7702 26.811 ],[-0.5387  0.2705  0.2682]
258,S1Sn1,"FCC
",225,51.2311,4.88622,[ 4.168849  4.168849  4.168849 60.       60.       60.      ],,2,-4.30056,5.0925e-05,2.34931,10,[27.6733 23.5578],[-0.9819  0.9819]
259,Ce1S1,"FCC
",225,44.4691,6.42945,[ 3.976715  3.976715  3.976715 60.       60.       60.      ],,2,-5.79025,-0.00034521,1.65763,10,[21.2036 23.2656],[ 1.4338 -1.4338]
260,P4Re3,"MCLC
",12,103.93,10.9045,[ 6.317871  6.317871  6.089854 66.84292  66.84292  27.88292 ],,7,-7.54958,0.000121949,0.776483,41,[14.248  14.253  15.1939 15.139  15.5731 14.7619 14.7612],[-0.3559 -0.3569 -0.2383 -0.2262  0.3079  0.4344  0.435 ]
261,Al3Zr1,"CUB
",221,69.3685,4.12127,[ 4.108855  4.108855  4.108855 90.       90.       90.      ],-1.83847,4,-5.40312,-0.000439263,2.93458,13,[17.2351 16.9288 17.809  17.3957],[-0.2094 -0.1577 -0.3097  0.6768]
262,Ir3Nb1,"CUB
",221,59.5704,18.6643,[ 3.905501  3.905501  3.905501 90.       90.       90.      ],,4,-7.28541,-9.433e-05,0.42663,32,[15.1786 16.2051 16.8895 11.2971],[-0.2949 -0.6    -0.8016  1.6964]
263,B2Mo1,"HEX
",191,26.7728,7.29147,[  3.031198   3.030695   3.365352  90.        90.       120.0055  ],,3,-7.38627,-0.000187913,1.64552,12,[ 7.4653  7.2279 12.0796],[-0.5457 -0.4424  0.9881]
264,B1Ti1,"FCC
",216,32.0285,3.04386,[ 3.564654  3.564654  3.564654 60.       60.       60.      ],,2,-5.00972,-1.924e-05,4.11284,7,[19.8208 12.2077],[-1.4667  1.4667]
265,B4Ta3,"ORCI
",71,74.4061,13.0798,[  7.429376   7.429376   7.429376 155.4441   154.0771    36.00757 ],,7,-8.88853,1.383e-05,0.650175,27,[ 9.5175  9.5175  8.3746  8.5751 11.8709 13.2753 13.2752],[-1.0247 -1.0247 -0.8018 -0.8906  1.5076  1.1171  1.1172]
266,In3Th1,"CUB
",221,108.681,8.80833,[ 4.772191  4.772191  4.772191 90.       90.       90.      ],,4,-3.91678,-0.00015987,-0.00044025,13,[27.8857 26.4234 26.105  28.267 ],[-0.4798 -0.3253 -0.2913  1.0965]
267,Nb1Pt2,"ORCI
",71,48.0838,16.6831,[  4.917922   4.917922   4.917922 146.5101   132.3387    59.50294 ],,3,-5.92455,-7.177e-05,0.486038,25,[12.6062 17.6175 17.8601],[ 1.4814 -0.7083 -0.7731]
268,B12Er1,"FCC
",225,104.448,4.72144,[ 5.286143  5.286143  5.286143 60.       60.       60.      ],,13,-6.78081,-6.94677e-05,2.16606,50,"[ 7.4364  7.6153  7.4711  7.8491  7.5974  7.5125  7.7225  7.7231  7.5256
  7.7386  7.607   7.6009 13.0489]","[-0.0837 -0.1305 -0.0978 -0.2145 -0.1309 -0.1118 -0.1661 -0.1736 -0.1113
 -0.1708 -0.1427 -0.134   1.6676]"
269,Nb6Ni16Si7,"FCC
",225,350.763,8.01516,[ 7.916069  7.916069  7.916069 60.       60.       60.      ],,29,-4.72049,-0.000165941,1.48167,218,"[14.4784 14.4784 14.4784 14.4784 14.4784 14.4784 11.8133 11.8122 11.8819
 11.8122 11.8122 11.8122 11.8815 11.8133 11.2159 11.2159 11.2095 11.2159
 11.2159 11.2159 11.2095 11.2159 11.6167 11.5319 11.5319 11.6175 11.6175
 11.5319 10.0737]","[ 1.1851  1.1851  1.1851  1.1851  1.1851  1.1851 -0.6668 -0.6665 -0.6748
 -0.6665 -0.6665 -0.6665 -0.6748 -0.6668 -0.4076 -0.4076 -0.406  -0.4076
 -0.4076 -0.4076 -0.406  -0.4076  0.1444  0.1629  0.1629  0.1443  0.1443
  0.1629  0.5745]"
270,Cr1N1,"FCC
",225,19.3475,5.66481,[ 3.013332  3.013332  3.013332 60.       60.       60.      ],,2,-8.2353,0.00013395,2.16022,11,[ 8.7816 10.5659],[ 1.4525 -1.4526]
271,As1La1,"FCC
",225,59.9314,5.92458,[ 4.392615  4.392615  4.392615 60.       60.       60.      ],,2,-6.21641,3.348e-05,1.90634,8,[35.4612 24.4701],[-1.5647  1.5647]
272,Nb5Te4,"BCT
",87,201.542,8.03264,[  7.618965   7.618965   7.618965  93.35812   93.35812  151.9877  ],,9,-6.44061,0.000217578,1.45971,49,[17.1663 17.1734 17.1728 17.2063 17.2063 28.8504 28.8522 28.9433 28.9615],[ 0.4469  0.7347  0.7348  0.7266  0.7266 -0.8398 -0.8398 -0.8448 -0.8452]
273,Bi1Sc1,"FCC
",225,56.7369,7.43205,[ 4.31314  4.31314  4.31314 60.      60.      60.     ],,2,-5.26919,-6.629e-05,0.989665,8,[42.3842 14.3527],[-1.5119  1.5119]
274,Ni1Te2,"HEX
",164,67.5465,7.71656,[  3.862376   3.862376   5.228422  90.00294   89.99706  120.0016  ],,3,-3.00966,-0.00021053,1.50234,22,[13.0275 27.2448 27.2683],[-0.0445  0.0232  0.0213]
275,Nd2Ni1O4,"BCT
",139,92.8788,7.35109,[  6.765315   6.765315   6.765315 146.7168   146.7168    47.78328 ],,7,-7.64893,3.33571e-06,1.42576,46,[16.9025 16.9027  8.0015 14.9228 14.9373 10.606  10.606 ],[ 2.0655  2.0655  1.196  -1.3756 -1.3763 -1.2875 -1.2875]
276,Mg6Ni16Si7,"FCC
",225,353.302,6.02298,[ 7.93512  7.93512  7.93512 60.      60.      60.     ],,29,-3.27756,0.000199077,1.96411,200,"[ 6.1756  6.1756  6.1756  6.1756  6.1756  6.1756 15.2161 15.2161 15.2161
 15.1945 15.2161 15.2161 15.2161 15.1941 12.6092 12.6092 12.6092 12.5633
 12.6092 12.6092 12.6092 12.5633 13.6072 13.6527 13.6527 13.6072 13.6527
 13.6072 12.0011]","[ 1.5345  1.5345  1.5345  1.5345  1.5345  1.5345 -0.8004 -0.8004 -0.8004
 -0.7866 -0.8004 -0.8004 -0.8004 -0.7866 -0.4244 -0.4244 -0.4244 -0.4123
 -0.4244 -0.4244 -0.4244 -0.4123  0.0468  0.0386  0.0386  0.0468  0.0386
  0.0468  0.2842]"
277,Al1C1Y3,"CUB
",221,117.252,4.3295,[ 4.894489  4.894489  4.894489 90.       90.       90.      ],-2.12421,5,-6.89569,0.000200298,2.8087,16,[42.4171 19.1243 18.5674 18.5674 18.5674],[-2.0475 -2.2733  1.4403  1.4403  1.4403]
278,Nb1Zn3,"CUB
",221,59.909,8.01171,[ 3.912887  3.912887  3.912887 90.       90.       90.      ],,4,-2.60301,-5.992e-05,1.51822,41,[16.5611 14.4493 14.5991 14.2995],[ 0.7169 -0.239  -0.2655 -0.2123]
279,Be1Rh1,"CUB
",221,21.3318,8.71204,[ 2.773381  2.773381  2.773381 90.       90.       90.      ],,2,-4.48506,-0.000102155,1.34756,11,[ 2.5334 18.7985],[ 1.461 -1.461]
280,Ce1Mo6S8,"RHL
",148,281.107,5.74316,[ 6.55159  6.55159  6.55159 89.07426 89.07426 89.07426],,15,-6.56179,-0.000587585,2.01662,88,,
281,Pb1S1,"RHL
",160,53.9471,7.36464,[ 4.24644  4.24644  4.24644 59.83876 59.83876 59.83876],,2,-4.45416,1.5775e-05,0.997231,10,[25.8774 28.0697],[ 0.9604 -0.9604]
282,Sc1Si2,"HEX
",191,52.7835,3.1814,[  4.070743   4.069822   3.679178  90.        90.       120.0075  ],,3,-5.64594,-0.000390077,3.75247,11,[11.8964 20.8091 20.0779],[ 1.5648 -0.8595 -0.7054]
283,Re1Si2,"BCT
",139,40.0734,10.0432,[  4.534514   4.534514   4.534514 138.7853   138.7814    59.70537 ],,3,-6.96861,0.000400853,0.854499,15,[16.7363 11.6463 11.6908],[-0.4645  0.2386  0.2259]
284,Ce1Pt5,"HEX
",191,112.323,16.4921,[  5.409928   5.410408   4.431028  90.        90.       119.9971  ],,6,-4.47211,-7.80733e-05,0.473358,54,[20.0784 17.8812 17.8793 18.6949 18.9171 18.8721],[ 1.8499 -0.4026 -0.402  -0.3222 -0.36   -0.3631]
285,Be12Cr1,"BCT
",139,106.013,2.50839,[  5.466329   5.466329   5.466329  98.25559   98.25559  135.465   ],,13,-3.92786,5.27692e-05,5.10756,30,"[10.5937 16.8522 13.7277 13.7277  5.4964  5.3113  5.4964  5.3113  4.2321
  4.2314  4.2314  4.2314 12.5703]","[-0.8994 -2.623  -1.7643 -1.7643  0.7296  0.7694  0.7296  0.7694  0.9424
  0.9426  0.9426  0.9426  0.2828]"
286,Pb1Se1,"FCC
",225,59.699,7.95959,[ 4.386931  4.386931  4.386931 60.       60.       60.      ],-1.13604,2,-4.16197,1.3415e-05,0.999498,10,[27.6836 32.0155],[ 0.8523 -0.8523]
287,Au1Mg1,"CUB
",221,35.8804,10.2404,[ 3.298267  3.298267  3.298267 90.       90.       90.      ],,2,-2.01859,0.0003432,0.748694,13,[29.5415  6.3389],[-1.5451  1.5451]
288,Ag2O1,"HEX
",164,46.8308,8.21695,[  3.470699   3.470732   4.489125  90.00397   90.       119.9997  ],,3,-1.98232,3.769e-05,1.39168,28,[17.6622 17.6859 11.4827],[ 0.4465  0.444  -0.8905]
289,C1La3Pb1,"CUB
",221,148.212,7.12483,[ 5.292092  5.292092  5.292092 90.       90.       90.      ],,5,-5.78683,0.000116556,1.27802,17,[18.5834 27.1509 27.1509 27.1509 48.1756],[-1.8517  1.1744  1.1744  1.1744 -1.6715]
290,Ir1Lu1,"CUB
",221,35.9865,16.9433,[ 3.301513  3.301513  3.301513 90.       90.       90.      ],,2,-6.37436,0.0003254,0.469675,26,[22.888  13.0985],[-1.5084  1.5084]
291,C2Gd1,"BCT
",139,43.4677,6.9249,[  4.095649   4.095649   4.095649 125.9548   125.9548    79.96236 ],,3,-10.9213,-8.83833e-05,1.42469,18,[13.8344 13.393  16.2402],[-1.0183 -0.7761  1.7943]
292,B6Ce1,"CUB
",221,70.3994,4.83495,[ 4.12911  4.12911  4.12911 90.      90.      90.     ],,7,-6.72196,-0.000528796,2.28419,22,[ 8.3511  8.8495  8.4577  8.431   8.7422  8.2569 19.311 ],[-0.2537 -0.3947 -0.2486 -0.2846 -0.3504 -0.2151  1.747 ]
293,Co1O2,"MCLC
",12,72.9281,2.07048,[ 2.842957  2.842957 10.52295  82.56807  82.56807  60.13558 ],,3,-5.36234,0.000249517,5.85058,21,[ 7.677  17.1222 17.0918],[ 1.4268 -0.7131 -0.7098]
294,N1Sc1,"FCC
",225,24.1115,4.0607,[ 3.242749  3.242749  3.242749 60.       60.       60.      ],,2,-8.60734,1.2775e-05,2.99534,8,[14.7498  9.3617],[-1.8717  1.8717]
295,Be12Nb1,"BCT
",139,113.1,2.95186,[  5.596529   5.596529   5.596529  98.10986   98.10986  135.8778  ],,13,-4.24889,2.05385e-05,4.23435,29,"[12.1745 12.1745 11.7785 12.5938  6.8054  6.5999  6.5999  6.8054  5.4259
  5.4259  5.4259  5.4278 15.8628]","[-1.2452 -1.2452 -1.1428 -1.3522  0.42    0.4655  0.4655  0.42    0.6634
  0.6634  0.6634  0.663   0.5612]"
296,Rh1Si1,"CUB
",221,26.2106,8.29876,[ 2.970475  2.970475  2.970475 90.       90.       90.      ],,2,-5.24127,0.000151895,1.4025,13,[15.2665 10.9442],[-0.6345  0.6345]
297,Al4C3,"RHL
",166,81.5286,2.9321,[ 8.594394  8.594394  8.594394 22.4976   22.4976   22.4976  ],-0.682377,7,-6.1888,6.76857e-05,4.06327,24,,
