,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
172,Lu1Rh2Si2,"BCT
",139,79.5856,9.11687,[  5.688916   5.688916   5.688916 138.6355   138.6355    59.93108 ],,5,-5.7735,-0.000257862,1.1091,43,[14.7156 18.3835 18.3872 14.342  13.7573],[ 1.6585 -1.0245 -1.0254  0.1324  0.259 ]
173,Sn1Ti3,"FCC
",225,77.7971,5.60058,[ 4.791735  4.791735  4.791735 60.       60.       60.      ],,4,-4.75039,0.000123315,2.14363,16,[28.8918 15.8131 17.2679 15.8201],[-1.524   0.6239  0.2773  0.6228]
174,Cs2Mo6Se6,"HEX
",176,378.845,5.76478,[  9.81502    9.808926   4.54487   90.        90.       120.0235  ],,14,-5.79879,-0.000333759,2.07889,74,"[39.2164 39.2164 15.5614 15.5748 15.5258 15.5636 15.5748 15.5258 34.5672
 34.5226 34.4502 34.5672 34.5226 34.4525]","[ 0.7998  0.7998  0.5934  0.583   0.5956  0.5929  0.583   0.5956 -0.8606
 -0.8583 -0.8526 -0.8606 -0.8583 -0.8526]"
175,B6Gd1,"CUB
",221,69.3363,5.31933,[ 4.108219  4.108219  4.108219 90.       90.       90.      ],,7,-8.14302,-9.10143e-06,1.9449,28,[ 8.4448  9.0137  8.6836  8.1644  9.2091  8.6556 17.1651],[-0.23   -0.3833 -0.2614 -0.1191 -0.4646 -0.3175  1.7759]
176,Bi1La1,"FCC
",225,74.001,7.80636,[ 4.712494  4.712494  4.712494 60.       60.       60.      ],,2,-5.4264,-5.394e-05,1.01566,8,[46.5952 27.4058],[-1.3811  1.3811]
177,Lu1Rh1,"CUB
",221,37.1271,12.4281,[ 3.336034  3.336034  3.336034 90.       90.       90.      ],,2,-5.29693,0.0007567,0.75677,26,[14.2967 22.8304],[ 1.447 -1.447]
178,La1Ni2Si2,"BCT
",139,81.7849,6.34404,[  5.60894   5.60894   5.60894 136.7598  136.7598   62.8079 ],,5,-4.64195,8.8692e-05,1.77797,31,[20.3311 14.1881 14.1831 16.3218 16.7608],[ 1.4777 -0.5492 -0.5482 -0.1479 -0.2324]
179,B2Ti1,"HEX
",191,26.6142,4.33756,[  3.052942   3.052902   3.297263  90.        90.       120.0004  ],,3,-7.04389,-3.27567e-05,2.88736,10,[9.0867 8.779  8.7485],[-0.8483 -0.7317  1.5801]
180,Ga3U1,"CUB
",221,81.4189,9.12149,[ 4.334194  4.334194  4.334194 90.       90.       90.      ],,4,-4.38587,-0.000106703,-0.000329785,15,[19.6846 19.4902 19.2953 22.9488],[-0.3541 -0.329  -0.3038  0.987 ]
181,Al1B2,"HEX
",191,25.8022,3.12782,[  3.008493   3.008502   3.291747  90.        90.       119.9999  ],-13.51,3,-5.75119,7.713e-05,3.91762,9,[ 4.9339 10.2326 10.6321],[ 2.1448 -1.0039 -1.1409]
