,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
26,Co1Si2,"FCC
",225,37.1951,5.13871,[ 3.746856  3.746856  3.746856 60.       60.       60.      ],,3,-5.00265,2.21167e-05,2.33918,17,[14.0941 11.5509 11.5501],[-1.438  0.719  0.719]
27,Au1Te2,"HEX
",164,79.168,9.48414,[  4.211434   4.211421   5.154197  90.00021   90.       120.0001  ],,3,-2.56929,-9.22167e-05,0.974376,23,[22.8718 28.1825 28.1138],[-0.3154  0.1534  0.162 ]
28,C1Ta2,"HEX
",164,42.7822,14.5127,[  3.14367    3.143655   4.998748  90.00188   90.       120.0002  ],,3,-10.4241,0.000174433,0.576578,14,[11.2237 15.7893 15.7692],[-1.9097  0.9529  0.9568]
29,Al2Au1,"FCC
",225,55.1776,7.55158,[ 4.27326  4.27326  4.27326 60.      60.      60.     ],,3,-3.2488,-8.25867e-05,1.06229,17,[10.4049 10.4475 34.2968],[ 1.5188  1.5153 -3.034 ]
30,Cd1Mo6S8,"RHL
",148,283.28,5.53667,[ 6.572556  6.572556  6.572556 92.19962  92.19962  92.19962 ],,15,-6.09694,5.31287e-05,2.12425,96,"[20.1094 14.0071 14.0071 14.006  14.006  14.0071 14.0071 22.0221 22.0221
 22.5149 22.5138 22.5138 22.5138 22.5149 22.5149]","[ 0.8986  0.9483  0.9483  0.9485  0.9485  0.9483  0.9483 -0.7615 -0.7615
 -0.8443 -0.8443 -0.8443 -0.8443 -0.8443 -0.8443]"
31,U1,"FCC
",225,32.8674,12.0259,[ 3.595505  3.595505  3.595505 60.       60.       60.      ],,1,-8.19111,0.00049713,-0.000133114,6,[32.8674],[0.]
32,Re24Sc5,"BCC
",217,470.501,16.5651,[  8.486475   8.486475   8.486475 109.4712   109.4712   109.4712  ],,29,-8.95284,9.80852e-05,0.488392,183,"[17.1577 17.1227 17.1089 17.1089 17.1577 17.1227 17.1089 17.1089 17.1577
 17.1227 17.1089 17.1089 18.3017 18.3587 17.3846 17.9544 17.857  18.3587
 17.9544 17.8294 17.4361 18.3587 17.8294 18.3991 10.2968  9.6379  9.6829
  9.6829  9.6829]","[-0.2347 -0.2274 -0.2233 -0.2233 -0.2347 -0.2274 -0.2233 -0.2233 -0.2347
 -0.2274 -0.2233 -0.2233 -0.5478 -0.5568 -0.2745 -0.4453 -0.4149 -0.5568
 -0.4453 -0.4072 -0.2891 -0.5568 -0.4072 -0.5781  1.6472  1.6453  1.6378
  1.6378  1.6378]"
33,Be5Pt1,"FCC
",216,53.148,7.5032,[ 4.22021  4.22021  4.22021 60.      60.      60.     ],,6,-4.1573,-2.32667e-06,1.08999,20,[ 3.0201  8.7719  6.1715  2.6471  2.6471 29.8904],[ 1.4251 -0.3384  0.3342  1.3634  1.3634 -4.1477]
34,As1Ga1,"ORCI
",44,38.3147,6.26943,[  3.908873   3.908873   3.908873 136.0793   101.7913    94.32148 ],,2,-3.54116,-5.807e-05,2.01296,8,[22.2086 16.1041],[-0.4499  0.4499]
35,C1Tc1,"FCC
",225,20.8619,8.82864,[ 3.089985  3.089985  3.089985 60.       60.       60.      ],,2,-7.53806,-0.000169665,1.34679,11,[ 8.8664 11.9955],[-0.9896  0.9896]
